Symbol	Description
566	See Hup Seng Limited
567	Colex Holdings Limited
568	Baker Technology Limited
569	Vicplas International Ltd
570	Transit-mixed Concrete Ltd
571	International Press Softcom
573	Challenger Technologies Ltd
574	Tsh Corporation Limited
575	Asti Holdings Limited
578	Ks Energy Limited
579	Oceanus Group Limited
580	Santak Holdings Limited
581	Ite Electric Co Ltd
583	Progen Holdings Ltd
584	Oakwell Engineering Limited
585	Asian Micro Holdings Ltd
586	Tmc Education Corporation Ltd
588	Health Management Intl Ltd
591	Innovalues Limited
593	Lee Metal Group Ltd
594	Loyz Energy Limited
595	Van Der Horst Energy Limited
596	Thai Village Holdings Ltd
5AB	Trek 2000 Int'l Ltd
5AE	Pollux Properties Ltd.
5AI	Sunlight Group Hldg Ltd
5AL	Annica Holdings Limited
5AM	Asiatravel.com Holdings Ltd
5AU	Ap Oil International Limited
5BA	Vashion Group Ltd.
5BI	Carriernet Global Ltd
5BM	Mfs Technology Ltd
5BS	Pne Micron Holdings Ltd
5CF	Okp Holdings Limited
5CH	Dmx Technologies Group Ltd
5CJ	Chinese Global Investors Grp
5CN	Sinwa Limited
5CP	Silverlake Axis Ltd
5CQ	Technics Oil & Gas Limited
5CR	Asiatic Group (holdings) Ltd
5CT	Ecowise Holdings Limited
5DA	Breadtalk Group Limited
5DD	Micro-mechanics (holdings) Ltd
5DL	Koon Holdings Limited
5DM	Ying Li Intl Real Estate Ltd
5DN	Ezra Holdings Limited
5DO	Sakae Holdings Ltd.
5DP	Heeton Holdings Limited
5DS	Megachem Limited
5DW	Renewable Energy Asia Grp Ltd
5DX	Metal Component Engg Ltd
5EB	Cfm Holdings Limited
5EC	Asiasons Wfg Financial Ltd.
5EF	Adventus Holdings Limited
5EG	New Lakeside Holdings Limited
5EK	Armarda Group Limited
5EL	Lasseters Intl Holdings Ltd
5EN	Midas Hldgs Limited
5ER	Best World International Ltd
5ET	Asiasons Capital Limited
5EV	Hosen Group Ltd
5EW	Pan Asian Holdings Limited
5F3W	Yhm Group Limited W161103
5F4	Figtree Holdings Limited
5F7	Hartawan Hldgs Ltd
5FA	Jep Holdings Ltd.
5FH	Advance Sct Limited
5FI	Oriental Food (holdings) Ltd.
5FL	Falcon Energy Group Limited
5FQ	Select Group Limited
5FW	Linair Technologies Limited
5FX	New Wave Holdings Ltd.
5G1	Eurosports Global Limited
5G2	Kimheng Offshore&marine Hldltd
5G3	Talkmed Group Limited
5G4	Infinio Group Limited
5G9	Tritech Group Limited
5GC	Cna Group Ltd.
5GD	Sunpower Group Ltd.
5GF	Nico Steel Holdings Limited
5GI	Interra Resources Limited
5GJ	Ausgroup Limited
5GZ	Aa Group Holdings Ltd.
5H0	Singhaiyi Group Ltd.
5H7W	Tritech Group Limited W190329
5HC	Ntegrator International Ltd
5HG	Oniontech Limited
5HH	Hln Technologies Limited
5HJ	Cityneon Holdings Limited
5HT	Communication Design Intl Ltd
5HV	Metax Engineering Corp Limited
5I0	Qt Vascular Ltd.
5I1	Kop Limited
5I2W	Asia-pacific Strategic W190506
5I3	Jason Holdings Limited
5I4	Icp Ltd
5IB	Albedo Limited
5IC	Sing Holdings Limited
5IE	Lorenzo International Limited
5IF	Natural Cool Holdings Limited
5IG	Gallant Venture Ltd.
5JK	Hiap Hoe Limited
5JS	Indofood Agri Resources Ltd.
5KI	Soup Restaurant Group Limited
5KK	China Yongsheng Limited
5KT	Fujian Zhenyun Plas Ind Co Ltd
5LE	Sitra Holdings (intl) Limited
5LY	Marco Polo Marine Ltd.
5MD	Soon Lian Holdings Limited
5ME	Ezion Holdings Limited
5ML	Old Chang Kee Ltd.
5MM	Sky One Holdings Limited
5MQ	Epicentre Holdings Limited
5MS	Memstar Technology Ltd.
5MZ	Kingsmen Creatives Ltd
5NF	Mencast Holdings Ltd.
5NG	Healthway Medical Corp Ltd
5NK	Artivision Technologies Ltd.
5NV	Chasen Holdings Limited
5OC	Koyo International Limited
5OI	Japan Foods Holding Ltd.
5OQ	Teho International Inc Ltd.
5OR	Heatec Jietong Holdings Ltd.
5OS	Jlj Holdings Limited
5OT	Singapore Medical Group Ltd
5OU	China Environment Ltd.
5OX	Mary Chia Holdings Limited
5PC	Goodland Group Limited
5PD	Hengyang Petrochem Log Limited
5PF	Jason Marine Group Limited
5PI	Plato Capital Limited
5PL	Sbi Offshore Limited
5PO	Hiap Tong Corporation Ltd.
5QR	Mann Seng Metal Intl Limited
5QT	China Enersave Ltd
5QY	Net Pacific Fin Hldgs Ltd
5RA	Asia-pacific Strategic Inv Ltd
5RC	Es Group (holdings) Limited
5RE	Smartflex Holdings Ltd
5RF	Friven & Co. Ltd.
5RJ	We Holdings Ltd.
5SO	Duty Free Internationallimited
5SR	Zhongmin Baihui Retail Grp Ltd
5SY	Chew's Group Limited
5TG	800 Super Holdings Limited
5TI	Kitchen Culture Holdings Ltd.
5TJ	Far East Group Limited
5TN	Iev Holdings Limited
5TP	Cnmc Goldmine Holdings Limited
5TR	Libra Group Limited
5TS	Jk Tech Holdings Limited
5TT	Keong Hong Holdings Limited
5TW	Chaswood Resources Hldgs Ltd.
5TY	Advanced Systems Automation
5UA	Starland Holdings Limited
5UE	Shc Capital Asia Limited
5UF	Maxi-cash Fin Svcs Corp Ltd
5UJ	Neo Group Limited
5UL	Atlantic Navigation Hldg(s)ltd
5UN	Sincap Group Limited
5UO	Sysma Holdings Limited
5UQW	Metal Component Engg W170908
5UV	P99 Holdings Limited
5UX	Oxley Holdings Limited
5UZ	Declout Limited
5VC	Kori Holdings Limited
5VFW	Asiatravel.com Holdingsw160715
5VI	Logistics Holdings Limited
5VJ	Halcyon Agri Corporation Ltd
5VNW	Albedo Limited W180329
5VOW	Viking Offshore And Ma W180425
5VP	Gds Global Limited
5VS	Hafary Holdings Limited
5VU	Elektromotive Group Limited
5VVW	Ntegrator Intl Ltd W160603
5VZW	Asia-pacific Strategic W180716
5WA	Intl Healthway Corp Limited
5WD	Ps Group Holdings Ltd.
5WE	Moya Holdings Asia Limited
5WF	Isoteam Ltd.
5WG	Singapore Kitchen Equipmentltd
5WH	Rex International Holding Ltd
5WJ	Moneymax Financial Servicesltd
5WR	Xyec Holdings Co., Ltd.
5WV	Asiaphos Limited
600	Hyflux Ltd
